"","item","itemLabel","birthdate","deathdate"
"353","http://www.wikidata.org/entity/Q3120005","Guillaume Lallement","1782","1828"
"354","http://www.wikidata.org/entity/Q2958622","Charles Brifaut","1781","1857"
"355","http://www.wikidata.org/entity/Q336010","Charles Nodier","1780","1844"
"356","http://www.wikidata.org/entity/Q18923552","Maurice Ourry","1776","1843"
"357","http://www.wikidata.org/entity/Q2689438","Jean-François Roger","1776","1842"
"361","http://www.wikidata.org/entity/Q3184846","Joseph Despaze","1776","1814"
"362","http://www.wikidata.org/entity/Q980235","Conrad Malte-Brun","1775","1826"
"363","http://www.wikidata.org/entity/Q2355014","Étienne Aignan","1773","1824"
"364","http://www.wikidata.org/entity/Q1871411","Louis-François Jauffret","1770","1840"
"365","http://www.wikidata.org/entity/Q15969851","Léonard Dusillet","1769","1857"
"366","http://www.wikidata.org/entity/Q2959479","Charles Joseph Colnet Du Ravel","1768","1832"
"367","http://www.wikidata.org/entity/Q49767","François-René de Chateaubriand","1768","1848"
"368","http://www.wikidata.org/entity/Q3383066","Pierre François Tissot","1768","1854"
"369","http://www.wikidata.org/entity/Q3170733","Jean Berrier","1766","1824"
"370","http://www.wikidata.org/entity/Q3157894","Jacques-Charles Bailleul","1762","1843"
"372","http://www.wikidata.org/entity/Q539301","François-Benoît Hoffman","1760","1828"
"373","http://www.wikidata.org/entity/Q3163769","Jean-Baptiste-Christophe Grainville","1760","1805"
"374","http://www.wikidata.org/entity/Q972144","Nicholas Bonneville","1760","1828"
"375","http://www.wikidata.org/entity/Q3387304","Pierre Villiers","1760","1849"
"376","http://www.wikidata.org/entity/Q553623","Louis Abel Beffroy de Reigny","1757","1811"
"377","http://www.wikidata.org/entity/Q203952","Antoine de Rivarol","1753","1801"
"378","http://www.wikidata.org/entity/Q561212","Sylvain Maréchal","1750","1803"
"379","http://www.wikidata.org/entity/Q1379808","Pierre-Louis Ginguené","1748","1815"
"381","http://www.wikidata.org/entity/Q530816","Ange-François Fariau","1747","1810"
"382","http://www.wikidata.org/entity/Q1986373","Nicolas-Étienne Framery","1745","1810"
"383","http://www.wikidata.org/entity/Q347891","Nicolas Chamfort","1741","1794"
"384","http://www.wikidata.org/entity/Q709670","Louis-Sébastien Mercier","1740","1814"
"385","http://www.wikidata.org/entity/Q379022","Jean-François de La Harpe","1739","1803"
"386","http://www.wikidata.org/entity/Q3184176","Giuseppe Cerutti","1738","1792"
